English,Hindi,len_eng_words,len_hin_words
category religious text,शरणी:धरमगरनथ,3,1
this changed slowly,धीर धीर य सब बदला,3,5
were being produced,उतपनन नही कि जाती थी,3,5
what s going on,कया हो रहा ह य”,3,5
not only that,बस वही नही,3,3
the carrier hotel,करियर होटल,3,2
every five years,हर पाच साल म,3,4
it worked,और यह तरीका कारगर रहा,3,6
we criticized them,हमन उनकी आलोचना की,3,4
the ammonia evaporates,अमोनिया उड जाती ह,3,4
see page,पषठ 56 दख,3,3
category hindi,शरणी:हिनदी,3,1
actually near afghanistan,जो अफगानिसतान क निकट ह की अोर सकत करत ह,3,10
internet in india,भारत म अतरजाल,3,3
nepal,नपाल,3,2
to attain nirvana,निरवाण परापत करना,3,3
categories of ministers,मतरियो की शरणिया,3,3
i think so,“लगता तो ह”,3,3
international cricket council,अतरराषटरीय करिकट परिषद,3,4
and my artwork,और मरी कलाकति क बार म बताना चाहगा।,3,8
umpires and scores,अपायर और सकोरर,3,3
ahonancasper melakko g vipanan isbn,अहोनन कसपर और मलकको 3g विपणन 2004 isbn 0-470-85100-7,3,9
see this also,इनह भी दख,3,3
or nyan cat,या “नयान कट”,3,3
by copying others,दसरो की नकल उतारन क कारण ह।,3,7
innovation is hard,नई खोज कठिन ह,3,4
section east portuguese colony,शरणी:परव परतगाली कालोनी,3,3
see this also,इनह भी दख,3,3
class taj mahal,शरणी:ताजमहल,3,1
devi and devata,दवी और दवता,3,3
huge engine,एक महान गतिशील साधन -,3,5
analysis molecular,विशलषण - अण,3,3
punjab kesri,पजाब कसरी,3,3
when it comes,जब कभी भी हम,3,4
google indic translitation,गगल इणडिक टरासलिटरशन,3,3
and then finally,और अत म,3,3
and the lebanese,और लबनान क लोगो का,3,5
features full optionsonlinedevanagiri supported,सलटी : सरवसविधासमपनन आनलाइन दवनागरी- समरथ,3,7
dainik jagaran,दनिक जागरण,3,7
london united kingdom,लदन सयकत राजशाही,3,3
propane and benzene,परोपन और बजीन,3,3
and my homeland,और अधिक दर हो गया,3,5
with multinational budgets,बहदशी बजट क साथ,3,4
jaishankar prasad,जयशकर परसाद,3,3
build greater stability,जयादा मजबत सथिरता पदा करन की जररत ह,3,8
