English,Hindi,length_eng_sentence,length_hin_sentence
samajik krantikary social revolutioner,START_ सामाजिक क्रांतिकारी _END,4,4
almost all of them,START_ लगभग सभी _END,4,4
kirit kalash sacred urn,START_ किरीट कलश _END,4,4
by the year to,START_ सन् तक _END,4,4
maybe shorter life spans,START_ लघु आयु _END,4,4
and slowly over time,START_ समय बीततेबीतते _END,4,4
pride e hind subhash,START_ नाज़एहिन्द सुभाष _END,4,4
if you had been,START_ अगर आप _END,4,4
hindi on to computer,START_ हिन्दी कम्प्यूटिaarun _END,4,4
varahamihira lrb p rrb,START_ वराहमिहिर ह्यपृहृ _END,4,4
and china was emitting,START_ और चीन _END,4,4
khaas mahal special mahal,START_ खास महल _END,4,4
that the indus script,START_ सिंधु लिपि _END,4,4
climatic prototypes modelling paradigm,START_ जलवायु प्रतिमान _END,4,4
with something thats unexpected,START_ किसी अप्रत्याशित _END,4,4
group the religious festival,START_ श्रेणीधार्मिक त्यौहार _END,4,4
interconnected with the mysticism,START_ रहस्यवादी नदी _END,4,4
its because the elevator,START_ क्योंकि एलेवेटर _END,4,4
in bihar and zarkhand,START_ बिहारझारखंड से _END,4,4
the power of example,START_ जैसे की _END,4,4
shaakal shaka branch and,START_ शाकलशाखा और _END,4,4
sexual organ of man,START_ वाह्य सूत्र _END,4,4
all of a sudden,START_ तभी अचानक _END,4,4
soaami bagh swami bagh,START_ सोआमी बाग _END,4,4
with regard to spacial,START_ स्पेसिय और _END,4,4
of my life ever”,START_ सबसे अच्छा _END,4,4
period of devotion bhakti,START_ भक्ति काल _END,4,4
he went around twice,START_ फिर दूसरा _END,4,4
category food and drink,START_ श्रेणीखान पान _END,4,4
for the first time,START_ पहली बार _END,4,4
reeti kaal constructive period,START_ रीति काल _END,4,4
office of prime minister,START_ प्रधानमन्त्रीको कार्यालय _END,4,4
out of the circle,START_ बाहरी कडियाँ _END,4,4
brijs enactment of krishna,START_ ब्रज रासलीला _END,4,4
it is only grams,START_ केवल ग्राम _END,4,4
oh grant me grace,START_ कृपा करो _END,4,4
we need these moments,START_ यह पल _END,4,4
of our whole civilization,START_ हिस्सा है। _END,4,4
my news meri khabar,START_ मेरी खबर _END,4,4
to profit from corruption,START_ अनुचित मौके _END,4,4
literature across the borders,START_ सीमांतीय साहित्य _END,4,4
culture of the vedas,START_ वैदिक संस्कृति _END,4,4
terrorists of the country,START_ राज्य आतंकवाद _END,4,4
soami bagh swami bagh,START_ सोआमी बाग _END,4,4
most of the time,START_ अधिकांश समय _END,4,4
compared to the driver,START_ नतीजे लायेगा _END,4,4
“”bahari kariya“” outlying episodes,START_ बाहरी कड़ियां _END,4,4
region under central control,START_ केन्द्रशासित प्रदेश _END,4,4
thank you thank you,START_ धन्यवाद धन्यवाद _END,4,4
category nitrutya jambu dweep,START_ श्रेणीनैऋत्य जंबुद्वीप _END,4,4
sen code of practice,START_ व्यवहार नियमावली _END,4,4
barmecides lrb p rrb,START_ बरमिसिडीज ह्यपृहृ _END,4,4
political and administrative composition,START_ राजनैतिकप्रशासनिक संरचना _END,4,4
mutthida majlis a amal,START_ मुत्तहिदा मज्लिसएअमल _END,4,4
proposal of non belief,START_ अविश्वास प्रस्ताव _END,4,4
the festivals the markets,START_ त्योहार बाजार _END,4,4
the hundreds of thousands,START_ हजारो लाखो _END,4,4
hindu dharma by sreni,START_ श्रेणीहिन्दू धर्म _END,4,4
the human being played,START_ इन्सानों की _END,4,4
thank you so much,START_ बहुतबहुत धन्यवाद। _END,4,4
purans puran means disambiguation,START_ अट्ठारह पुराण _END,4,4
bahari kariyan outer chains,START_ बाहरी कड़ियाँ _END,4,4
it is not there,START_ नहीं है। _END,4,4
webduniya samachar webworld news,START_ वेबदुनिया समाचार _END,4,4
the history hindi literatures,START_ हिंदी साहित्य _END,4,4
fanakh lrb p rrb,START_ फरसख ह्यपृहृ _END,4,4
is the soviet union,START_ सोवियत संघ _END,4,4
category south jambu island,START_ श्रेणीदक्षिण जंबुद्वीप _END,4,4
on the other hand,START_ दूसरी तरफ़ _END,4,4
category hindi prose writer,START_ श्रेणीहिन्दी गद्यकार _END,4,4
we have the possibility,START_ संभावना है _END,4,4
collected from the net,START_ जाल समेटा _END,4,4
o kudala sangama lord,START_ ओ कुदालसंगमेश्वर _END,4,4
opposite the royal position,START_ उल्टीशाही पोजीशन _END,4,4
and this is today,START_ और आज _END,4,4
pakistan place to see,START_ पाकिस्तान पर्यटन _END,4,4
it occupied the area,START_ यह लगभग _END,4,4
dainik madhyaraj madhyaraj daily,START_ दैनिक मध्यराज्य _END,4,4
a path a route,START_ ऐसा रास्ता _END,4,4
on the other hand,START_ साथ ही _END,4,4
addict tor to religion,START_ धार्मिक कट्टरपंथी _END,4,4
i got zero hits,START_ wasnt there _END,4,4
that sometimes we develop,START_ कभीकभी हम _END,4,4
arrangement of the team,START_ टीम संरचना _END,4,4
literature relating the children,START_ बाल साहित्य _END,4,4
muthitha mazila ye amal,START_ मुत्तहिदा मज्लिसएअमल _END,4,4
culture of veda period,START_ वैदिक संस्कृति _END,4,4
the affairs of classes,START_ वर्ण व्यवस्था _END,4,4
this is a room,START_ कमरे भर _END,4,4
and here they are,START_ ये रहे _END,4,4
for the first time,START_ पहली बार _END,4,4
back as recently as,START_ के दौरान _END,4,4
the telivajon compered one,START_ टेलीविजन कैरियर _END,4,4
expansion on all sides,START_ चहुँओर विस्तार _END,4,4
one woman loses six,START_ एक औरत _END,4,4
so there it is,START_ यहाँ देखिए _END,4,4
literature point of view,START_ साहित्यिक दृष्टि _END,4,4
you may regard this,START_ आप सोचेगें _END,4,4
that we finally had,START_ अंत में _END,4,4
on top of that,START_ ऊपर से _END,4,4
so about that time,START_ उस समय _END,4,4
mobile is long communication,START_ मोबाइल दूरसंचार _END,4,4
thank you very much,START_ बहुतबहुत धन्यवाद। _END,4,4
a couple of examples,START_ कुछ उदाहरण _END,4,4
an introduction to life,START_ जीवन परिचय _END,4,4
the first world war,START_ प्रथम विश्वयुद्ध _END,4,4
mughal and assam film,START_ मुगलएआज़म फ़िल्म _END,4,4
so why is it,START_ तब क्यों _END,4,4
come to me crying,START_ रोते हुए _END,4,4
series south jambu island,START_ श्रेणीदक्षिण जंबुद्वीप _END,4,4
the bloodshed the pain,START_ खून दर्द _END,4,4
category hindi story writer,START_ श्रेणीहिन्दी कथाकार _END,4,4
is the third side,START_ तीसरा पक्ष। _END,4,4
note on the operation,START_ तकनीकी नोट _END,4,4
and then it continues,START_ और फिर _END,4,4
request for key solution,START_ अनुनेय कुंजीपटल _END,4,4
is the middle east,START_ मध्यपूर्व में। _END,4,4
thank you thank you,START_ धन्यवाद धन्यवाद _END,4,4
writs for public interest,START_ जनहित याचिकाएँ _END,4,4
category the river ganges,START_ श्रेणीगंगा नदी _END,4,4
thank you thank you,START_ dhanyavaad dhanyavaad _END,4,4
style hindi prose composer,START_ श्रेणीहिन्दी गद्यकार _END,4,4
zarkan lrb p rrb,START_ जरकान पृ _END,4,4
and the united states,START_ और अमेरिका _END,4,4
district of maharaj jang,START_ महाराजगंज जिला _END,4,4
category hindi story writer,START_ श्रेणीहिन्दी गद्यकार _END,4,4
category hindi poets female,START_ श्रेणीहिन्दी कवयित्रियाँ _END,4,4
class story of mahabharat,START_ श्रेणीमहाभारत कथा _END,4,4
the restaurants the cantinas,START_ रेस्तरां कैनटीना _END,4,4
all around in detail,START_ चहुँओर विस्तार _END,4,4
meeting the guru mentor,START_ गुरु भेंट _END,4,4
prja bharat indian nationals,START_ प्रजा भारत _END,4,4
lrb published march rrb,START_ मार्च में _END,4,4
thank you thank you,START_ धन्यवाद धन्यवाद _END,4,4
relocation of the capital,START_ राजधानी स्थानांतरण _END,4,4
confluence of three rivers,START_ त्रिवेणीसंगम प्रयाग _END,4,4
according to the channel,START_ चैनल प्रकार _END,4,4
art of veda period,START_ वैदिक कला _END,4,4
flu lrb influenza rrb,START_ फ्लू इन्फुलैंज़ा _END,4,4
under the cotonou agreement,START_ कोटुनो समझौता _END,4,4
central west mountain university,START_ मध्यपस्चिमाञ्चल विश्वविद्यालय _END,4,4
a yes of course,START_ हां जरूर _END,4,4
mutual masturbation hand sex,START_ परस्पर हस्तमैथुन _END,4,4
main ime development park,START_ प्रमुख आईएमई _END,4,4
gradehindi romantic poetry writer,START_ श्रेणीछायावादी कवि _END,4,4
religion of the vedas,START_ वैदिक धर्म _END,4,4
attainment of ultimate knowledge,START_ ज्ञान प्राप्ति _END,4,4
to do with genetics,START_ जैनेटिक्स पर _END,4,4
he take important decisions,START_ नीति निर्माता _END,4,4
and second of all,START_ और दूसरा _END,4,4
dainik of madhya pradesh,START_ दैनिक मध्यराज्य _END,4,4
on the other hand,START_ दूसरी ओर _END,4,4
after my kuppam experiment,START_ इश्तेहार बटवाए _END,4,4
change of state capital,START_ राजधानी स्थानांतरण _END,4,4
four gardens chaar baug,START_ चार बाग _END,4,4
life at the beginning,START_ आरंभिक जीवन _END,4,4
thats the warm up,START_ सिर्फ शुरूवाद _END,4,4
literature relating to women,START_ स्त्रीवादी साहित्य _END,4,4
and what hes done,START_ और उन्होंने _END,4,4
far west mountain university,START_ सुदुरपस्चीमाञ्चल विश्वविद्यालय _END,4,4
in rats or mice,START_ रिकॉर्ड करके _END,4,4
who in the s,START_ जिन्हें में _END,4,4
the river of saraswathi,START_ सरस्वती नदी _END,4,4
without talking about power,START_ नामुमकिन है _END,4,4
of our abandoned buildings,START_ सकते हैं _END,4,4
they were so happy,START_ इतने खुश _END,4,4
sanskrit of veda period,START_ वैदिक संस्कृत _END,4,4
