English,Hindi,len_eng_words,len_hin_words
<start> this change has contributed <end>,<start> यह परिवरतन योगदान द रहा ह <end>,4,6
<start> buddha and danceroom <end>,<start> बदध और नाचघर <end>,4,4
<start> greatly understate its impact . <end>,<start> इसक परभाव को बहत ही कम आका गया ह। <end>,4,9
"<start> permanent , billowing , voluptuous forms <end>","<start> सथायी ,  तरगित ,  आकरषक ,  बडी इमारतो क आकार क <end>",4,8
<start> category religion author <end>,<start> शरणीधरम परवरतक <end>,4,2
<start> royal chitvan national park <end>,<start> रॉयल चितवन राषटरीय उदयान <end>,4,4
<start> they take real time data <end>,<start> वो समकालीन आकड लत ह <end>,4,5
<start> that s when he falls . <end>,<start> यही कारण ह कि वह गिरता ह . <end>,4,7
<start> can be very dangerous . <end>,<start> बहत खतरनाक हो सकता ह  . <end>,4,6
<start> and it s getting stronger . <end>,<start> और यह मजबत हो रही ह  . <end>,4,7
<start> and we were walking <end>,"<start> वहा चलत समय , <end>",4,3
"<start> chris anderson so , pranav , <end>","<start> करिस एडरसन तो ,  परणव , <end>",4,4
<start> slowly this disaffection extincted . <end>,<start> धीर धीर यह भावना लपत हो गयी। <end>,4,7
"<start> that lie inside us , <end>","<start> जो हमार अदर छपी ह , <end>",4,5
"<start> not just us primates , <end>","<start> न सिरफ मानवो पर ही , <end>",4,5
<start> rajasthan in ancient days <end>,<start> पराचीन काल म राजसथान <end>,4,4
<start> it brought us hope . <end>,<start> हम आशा द कर। <end>,4,4
<start> that s all . thank you . <end>,<start> बस यही। धनयवाद। <end>,4,3
<start> and that again proves <end>,<start> और य फिर स सिदध करता ह कि <end>,4,8
<start> samajik krantikary <end>,<start> सामाजिक करातिकारी <end>,4,2
"<start> to wielding a dictionary , <end>","<start> डिकशनरी पर आशरित था , <end>",4,4
"<start> somehow , suddenly things mattered . <end>","<start> कस करक  ,  अचानक य बातो प व गौर करन लग <end>",4,11
<start> by e mail to <end>,<start> इमल पत स यहा सपरक कर सकत हः <end>,4,8
"<start> in the teacher s contract , <end>","<start> शिकषक क कॉणटरकट म , <end>",4,4
"<start> we know that scientifically , <end>","<start> और य तो वजञानिक तौर पर भी साबित हो चका ह , <end>",4,11
<start> anywhere in the world . <end>,<start> परी दनिया म कही भी  . <end>,4,6
<start> category nobel prize felicitation <end>,<start> शरणीनोबल परसकार सममानित <end>,4,3
<start> you can t catch me . <end>,<start> तम मझ पकड नही सकत। <end>,4,5
<start> they can save lives . <end>,<start> वो जान बचा सकत ह . <end>,4,5
"<start> at a six figure profit , <end>",<start> वो भी   अकीय लाभ पर <end>,4,6
"<start> and there it was , <end>","<start> और म उस दखती रही , <end>",4,5
<start> ime of cafe hindi . <end>,<start> कफहिनदी का आईएमई <end>,4,3
<start> so what if then <end>,<start> तो अगर ऐसा हो कि <end>,4,5
<start> made for two dollars . <end>,<start> व बना था दो डौलर म। <end>,4,6
<start> sitting at a keyboard . <end>,<start> टाईपिग करत हए। <end>,4,3
<start> up to percent . <end>,<start>  परतिशत तक . <end>,4,3
<start> we have an election . <end>,<start> हम चनाव करत ह। <end>,4,4
<start> birth and family life . <end>,<start> जनम और कौटबिक जीवन <end>,4,4
"<start> you see , the gods <end>","<start> दखिय ,  दवताओ को भी <end>",4,4
"<start> my mustache growing ability , <end>","<start> अनडरएसटीमट करन लगा , <end>",4,3
"<start> yahoo india , hindi news <end>",<start> याह भारत हिनदी समाचार <end>,4,4
<start> united states of america <end>,<start> सयकत राजय अमरिका <end>,4,3
"<start> to share their knowledge , <end>",<start> अपन जञान को वितरित करन क लिए <end>,4,7
<start> are you holding her ? <end>,<start> कया आप उसको थाम ह ? <end>,4,5
<start> modeling of air quality . <end>,<start> वाय की गणवतता मॉडलिग <end>,4,4
