English,Hindi,length_eng_sentence,length_hin_sentence
category religious text,START_ श्रेणीधर्मग्रन्थ _END,3,3
class taj mahal,START_ श्रेणीताजमहल _END,3,3
comments and analysis,START_ टीकाटिप्पणी _END,3,3
series dharma grandh,START_ श्रेणीधर्मग्रन्थ _END,3,3
on their own,START_ अपनेआप _END,3,3
category religious text,START_ श्रेणीधर्मग्रन्थ _END,3,3
to gallon vats,START_ गैलन _END,3,3
diwan e general,START_ दीवानएआम _END,3,3
the public health,START_ जनस्वास्थ _END,3,3
main semicirclular niche,START_ मुख्यमेहराब _END,3,3
series religious book,START_ श्रेणीधर्मग्रन्थ _END,3,3
diwan e general,START_ दीवानएआम। _END,3,3
starting of youngness,START_ यौवनारम्भ _END,3,3
notes dharma granth,START_ श्रेणीधर्मग्रन्थ _END,3,3
dictation official language,START_ श्रुतलेखनराजभाषा _END,3,3
vote on account,START_ err _END,3,3
category religious scripture,START_ श्रेणीधर्मग्रन्थ _END,3,3
the united states,START_ अमेरिका _END,3,3
written official language,START_ श्रुतलेखनराजभाषा _END,3,3
genre religious book,START_ श्रेणीधर्मग्रन्थ _END,3,3
शिशु सुनते हैं,START_ जब _END,3,3
to bring us,START_ हमें _END,3,3
search hindi text,START_ हिन्खोज _END,3,3
names of akbar,START_ अकबरनामा _END,3,3
series taj mahal,START_ श्रेणीताजमहल _END,3,3
canal e bhish,START_ नहरएबहिश्त _END,3,3
susamskritham good sanskrit,START_ सुसंस्कृतम् _END,3,3
section deity malefemale,START_ श्रेणीदेवीदेवता _END,3,3
canal a bhish,START_ नहरएबहिश्त _END,3,3
amar ujala navin,START_ unicodith _END,3,3
class religious book,START_ श्रेणीधर्मग्रन्थ _END,3,3
category religious scriptures,START_ श्रेणीधर्मग्रन्थ _END,3,3
about population statistics,START_ जनसांख्यिकी _END,3,3
category world war,START_ श्रेणीविश्वयुद्ध _END,3,3
equestrian or mounted,START_ घुड़सवार _END,3,3
vote on account,START_ err _END,3,3
category taj mahal,START_ श्रेणीताजमहल _END,3,3
class religious books,START_ श्रेणीधर्मग्रन्थ _END,3,3
division holy writ,START_ श्रेणीधर्मग्रन्थ _END,3,3
reading national language,START_ वाचान्तरराजभाषा _END,3,3
as early as,START_ में _END,3,3
series gods goddesses,START_ श्रेणीदेवीदेवता _END,3,3
flag of peace,START_ शान्तिनिकेतन _END,3,3
category prem chand,START_ श्रेणीप्रेमचंद _END,3,3
council of ministers,START_ मंत्रिपरिषद _END,3,3
dictation national language,START_ श्रुतलेखनराजभाषा _END,3,3
he said “leonardo”,START_ लेओनार्दो _END,3,3
by the year,START_ तक _END,3,3
thanks a lot,START_ धन्यवाद _END,3,3
divan a arm,START_ दीवानएआम _END,3,3
kamsutra sex formula,START_ कामसूत्र _END,3,3
category jambu island,START_ श्रेणीजंबुद्वीप _END,3,3
in reference to,START_ संदर्भ _END,3,3
class world war,START_ श्रेणीविश्वयुद्ध _END,3,3
verses from quran,START_ सूरा _END,3,3
class world war,START_ श्रेणीविश्वयुद्ध _END,3,3
look at that,START_ देखिये _END,3,3
translation national language,START_ वाचान्तरराजभाषा _END,3,3
is called memories,START_ यादें _END,3,3
sreni news reports,START_ श्रेणीपत्रकारिता _END,3,3
pronouciation official language,START_ वाचान्तरराजभाषा _END,3,3
water and air,START_ जलवायु _END,3,3
crown cronch ceremony,START_ राजतिलक _END,3,3
dictation national language,START_ श्रुतलेखनराजभाषा _END,3,3
nakkarkhana cattledrum house,START_ नक्करखाना _END,3,3
area of work,START_ कार्यक्षेत्र _END,3,3
sex positions position,START_ err _END,3,3
series jambu island,START_ श्रेणीजंबुद्वीप _END,3,3
domain of work,START_ कार्यक्षेत्र _END,3,3
category religious epic,START_ श्रेणीधर्मग्रन्थ _END,3,3
world class hindi,START_ विश्वहिन्दी _END,3,3
inside web page,START_ श्रेणीअंतरजाल _END,3,3
spoken official language,START_ वाचान्तरराजभाषा _END,3,3
a global citizen,START_ वैश्विकनागरिक। _END,3,3
class religious scripture,START_ श्रेणीधर्मग्रन्थ _END,3,3
amar ujala new,START_ unicoded _END,3,3
principle of writing,START_ रचनाधर्मी _END,3,3
is that democracy,START_ प्रजातंत्र _END,3,3
word meaning cum,START_ शब्दकोशकॉम _END,3,3
category religious epic,START_ श्रेणीधर्मग्रन्थ _END,3,3
ritual of muslim,START_ खतना _END,3,3
i dont know,START_ सफ्रेर्फ्सिओग्ज्म्ग्स्गुफिउ _END,3,3
addicted on writings,START_ रचनाधर्मी _END,3,3
an eternal youth,START_ चिरयुवा _END,3,3
field of work,START_ कार्यक्षेत्र _END,3,3
could not understand,START_ सफ्रेर्फ्सिओग्ज्म्ग्स्गुफिउ _END,3,3
diwan e khas,START_ दीवानएखास _END,3,3
category taj mahal,START_ श्रेणीताजमहल _END,3,3
everyone please think,START_ सज्जनों _END,3,3
bikaner a place,START_ बीकानेर _END,3,3
area of operation,START_ कार्यक्षेत्र _END,3,3
cycle of time,START_ समयचक्र _END,3,3
list of epics,START_ ग्रन्थसूची _END,3,3
class religious books,START_ श्रेणीधर्मग्रन्थ _END,3,3
applause standing ovation,START_ तालियाँ _END,3,3
thank you applause,START_ धन्यवादअभिवादन _END,3,3
class enter gates,START_ श्रेणीप्रवेशद्बार _END,3,3
religion of god,START_ दीनएइलाही _END,3,3
pleasyre of sex,START_ उन्नयन _END,3,3
category life science,START_ श्रेणीजीवविज्ञान _END,3,3
